codigoPostal,ciudad,estadoNombreCorto
03930,Ciudad de México,Ciudad de México
03940,Ciudad de México,Ciudad de México
04000,Ciudad de México,Ciudad de México
04010,Ciudad de México,Ciudad de México
04020,Ciudad de México,Ciudad de México
04030,Ciudad de México,Ciudad de México
04040,Ciudad de México,Ciudad de México
04100,Ciudad de México,Ciudad de México
04120,Ciudad de México,Ciudad de México
04200,Ciudad de México,Ciudad de México
04210,Ciudad de México,Ciudad de México
04230,Ciudad de México,Ciudad de México
04240,Ciudad de México,Ciudad de México
04250,Ciudad de México,Ciudad de México
04260,Ciudad de México,Ciudad de México
04300,Ciudad de México,Ciudad de México
04310,Ciudad de México,Ciudad de México
04318,Ciudad de México,Ciudad de México
04320,Ciudad de México,Ciudad de México
04330,Ciudad de México,Ciudad de México
04340,Ciudad de México,Ciudad de México
04360,Ciudad de México,Ciudad de México
04369,Ciudad de México,Ciudad de México
04370,Ciudad de México,Ciudad de México
04380,Ciudad de México,Ciudad de México
04390,Ciudad de México,Ciudad de México
04400,Ciudad de México,Ciudad de México
04410,Ciudad de México,Ciudad de México
04420,Ciudad de México,Ciudad de México
04440,Ciudad de México,Ciudad de México
04450,Ciudad de México,Ciudad de México
04460,Ciudad de México,Ciudad de México
04470,Ciudad de México,Ciudad de México
04480,Ciudad de México,Ciudad de México
04489,Ciudad de México,Ciudad de México
04490,Ciudad de México,Ciudad de México
04500,Ciudad de México,Ciudad de México
04510,Ciudad de México,Ciudad de México
04519,Ciudad de México,Ciudad de México
04530,Ciudad de México,Ciudad de México
04600,Ciudad de México,Ciudad de México
04610,Ciudad de México,Ciudad de México
04620,Ciudad de México,Ciudad de México
04630,Ciudad de México,Ciudad de México
04640,Ciudad de México,Ciudad de México
04650,Ciudad de México,Ciudad de México
04660,Ciudad de México,Ciudad de México
04700,Ciudad de México,Ciudad de México
04710,Ciudad de México,Ciudad de México
04730,Ciudad de México,Ciudad de México
04739,Ciudad de México,Ciudad de México
04800,Ciudad de México,Ciudad de México
04810,Ciudad de México,Ciudad de México
04815,Ciudad de México,Ciudad de México
04830,Ciudad de México,Ciudad de México
04840,Ciudad de México,Ciudad de México
04870,Ciudad de México,Ciudad de México
04890,Ciudad de México,Ciudad de México
04899,Ciudad de México,Ciudad de México
04909,Ciudad de México,Ciudad de México
04910,Ciudad de México,Ciudad de México
04918,Ciudad de México,Ciudad de México
04919,Ciudad de México,Ciudad de México
04920,Ciudad de México,Ciudad de México
04929,Ciudad de México,Ciudad de México
04930,Ciudad de México,Ciudad de México
04938,Ciudad de México,Ciudad de México
04939,Ciudad de México,Ciudad de México
04940,Ciudad de México,Ciudad de México
04950,Ciudad de México,Ciudad de México
04960,Ciudad de México,Ciudad de México
04970,Ciudad de México,Ciudad de México
04980,Ciudad de México,Ciudad de México
05000,Ciudad de México,Ciudad de México
05010,Ciudad de México,Ciudad de México
05020,Ciudad de México,Ciudad de México
05030,Ciudad de México,Ciudad de México
05050,Ciudad de México,Ciudad de México
05100,Ciudad de México,Ciudad de México
05110,Ciudad de México,Ciudad de México
05118,Ciudad de México,Ciudad de México
05119,Ciudad de México,Ciudad de México
05120,Ciudad de México,Ciudad de México
05129,Ciudad de México,Ciudad de México
05200,Ciudad de México,Ciudad de México
05219,Ciudad de México,Ciudad de México
05220,Ciudad de México,Ciudad de México
05230,Ciudad de México,Ciudad de México
05240,Ciudad de México,Ciudad de México
05260,Ciudad de México,Ciudad de México
05269,Ciudad de México,Ciudad de México
05270,Ciudad de México,Ciudad de México
05280,Ciudad de México,Ciudad de México
05310,Ciudad de México,Ciudad de México
05320,Ciudad de México,Ciudad de México
05330,Ciudad de México,Ciudad de México
05348,Ciudad de México,Ciudad de México
05360,Ciudad de México,Ciudad de México
05370,Ciudad de México,Ciudad de México
05379,Ciudad de México,Ciudad de México
05400,Ciudad de México,Ciudad de México
05410,Ciudad de México,Ciudad de México
