,codigoPostal,variable,dimension,value_type,numeric_value,string_value
146,80060,SI_EF_TILTED_SURFACE_OPTIMAL_ANG_ORT,APR,string ,,S
147,80060,SI_EF_TILTED_SURFACE_OPTIMAL_ANG_ORT,MAY,string ,,N
148,80060,SI_EF_TILTED_SURFACE_OPTIMAL_ANG_ORT,JUN,string ,,N
149,80060,SI_EF_TILTED_SURFACE_OPTIMAL_ANG_ORT,JUL,string ,,N
150,80060,SI_EF_TILTED_SURFACE_OPTIMAL_ANG_ORT,AUG,string ,,S
151,80060,SI_EF_TILTED_SURFACE_OPTIMAL_ANG_ORT,SEP,string ,,S
152,80060,SI_EF_TILTED_SURFACE_OPTIMAL_ANG_ORT,OCT,string ,,S
153,80060,SI_EF_TILTED_SURFACE_OPTIMAL_ANG_ORT,NOV,string ,,S
154,80060,SI_EF_TILTED_SURFACE_OPTIMAL_ANG_ORT,DEC,string ,,S
155,80060,SI_EF_TILTED_SURFACE_OPTIMAL_ANG_ORT,ANN,string ,,
